neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2,23,1.2873,103.84894,2,186.0,7,85,12,1.56,40,363
2,17,1.31671,103.82831,2,144.0,7,18,119,0.33,19,0
2,6,1.31091,103.88131,0,60.0,1,63,17,1.12,37,342
2,6,1.3103,103.88190999999999,0,60.0,1,35,24,0.63,37,350
2,7,1.29435,103.83551,0,125.0,1,1,1684,0.02,1,0
2,10,1.30505,103.79822,0,82.0,4,3,348,0.08,1,365
3,3,1.33199,103.94126,2,150.0,30,0,2137,1.04,1,0
2,14,1.3293,103.85401999999999,0,50.0,1,0,2137,1.04,1,0
2,6,1.3155299999999999,103.88662,2,181.0,5,62,25,1.17,84,34
2,9,1.30722,103.85733,1,37.0,1,0,2137,1.04,1,0
2,19,1.31408,103.854,0,92.0,1,8,784,0.15,9,266
5,25,1.37043,103.83038,0,37.0,29,3,556,0.12,3,364
2,9,1.3014700000000001,103.84732,2,100.0,5,1,1620,0.02,67,0
4,32,1.3043799999999999,103.76162,0,229.0,3,0,2137,1.04,1,0
2,4,1.27546,103.84014,2,158.0,6,3,15,0.06,4,363
4,29,1.3808799999999999,103.75983000000001,2,160.0,2,4,1309,0.07,1,0
2,19,1.31403,103.84666999999999,0,60.0,1,3,1473,0.05,1,0
2,20,1.31977,103.85305,2,300.0,7,25,128,0.45,203,275
2,17,1.29611,103.82991,0,69.0,21,16,23,0.32,4,141
2,4,1.28257,103.83125,0,132.0,2,2,613,0.04,1,362
2,6,1.3115299999999999,103.88118,0,60.0,1,17,37,0.32,37,347
2,6,1.31105,103.88313000000001,0,60.0,1,55,22,1.0,37,342
2,20,1.31445,103.84049,0,208.0,1,0,2137,1.04,1,0
2,15,1.28095,103.84155,2,164.0,2,5,848,0.12,1,0
3,3,1.33043,103.94814000000001,0,56.0,3,39,19,0.79,13,75
2,34,1.35376,103.83178000000001,0,49.0,3,70,183,1.27,3,0
1,30,1.35332,103.82851,0,49.0,3,98,196,1.79,3,0
2,5,1.30634,103.84011,2,160.0,3,76,13,1.63,6,158
3,3,1.32873,103.94814000000001,0,67.0,3,56,86,1.08,13,71
3,3,1.3284,103.94773,0,67.0,3,76,18,1.38,13,73
3,3,1.33027,103.94787,0,67.0,3,71,4,1.38,13,74
2,9,1.3016299999999998,103.84839000000001,2,137.0,7,18,106,0.32,203,361
